# 进迭时空 提交列表（纯文本视图）
# 共 134 个提交
# 生成时间: 2026-03-09 21:51:52
#
# 格式: 提交哈希 | 日期 | 原始作者 | 标题
------------------------------------------------------------------------------------------------------------------------
1d8d9329 | 2025-04-11 | Alex Elder | serial: 8250_of: manage bus clock in suspend/resume
441f02b2 | 2025-04-09 | Alex Elder | serial: 8250_of: add support for an optional bus clock
d06c55e9 | 2025-01-24 | Andy Shevchenko | serial: 8250_of: Remove unneeded ->iotype assignment
41c2e94c | 2024-04-05 | Bastien Curutchet | serial: 8250_of: Add clock_notifier
2dcc28d8 | 2024-03-04 | Andy Shevchenko | serial: 8250_of: Switch to use uart_read_port_properties()
9af81d7d | 2024-02-15 | Andy Shevchenko | serial: 8250_of: Drop quirk fot NPCM from 8250_port
e19a2600 | 2023-09-19 | Andy Shevchenko | serial: 8250_of: Use devm_clk_get_enabled()
019be079 | 2023-09-12 | Andy Shevchenko | serial: 8250_of: Use dev_err_probe() instead of dev_warn()
c1860fe6 | 2025-08-26 | zhangmeng | riscv: k1: dts: enable eth0/eth1 for bananapi f3 board
67c7ecbe | 2025-08-26 | zhangmeng | riscv: config: enable emac driver for spacemit k1
10279dd8 | 2025-08-26 | zhangmeng | riscv: k1: dts: add emacs controllers support for spacemit k1
21369648 | 2025-08-26 | zhangmeng | net: k1: support emac controller in spacemit k1 soc
39912d3b | 2025-08-25 | zhangmeng | riscv: k1: dts: enable sdhci-0/1/2 for bananapi f3 board
7aef01a6 | 2025-08-25 | zhangmeng | riscv: config: enable sdhci driver for spacemit k1
3c105abd | 2025-08-25 | zhangmeng | riscv: k1: dts: add sdhci controller support for spacemit k1
85dde21f | 2025-08-25 | zhangmeng | mmc: sdhci-of-k1: add support for SpacemiT K1 SoC
df0febb7 | 2025-08-25 | zhangmeng | dt-bindings: mmc: spacemit,sdhci: add support for K1 SoC
2cab3e54 | 2025-08-24 | zhangmeng | driver: k1/spi: Fixed compilation errors reported when enable CONFIG_PM_SLEEP
fc1b4907 | 2025-05-28 | zhangmeng | riscv: config: enable CONFIG_RISCV_ISA_ZICBOM for spacemit k1
57e2f6f3 | 2025-05-20 | zhangmeng | riscv: config: enable spacemit p1 driver for spacemit k1
16e7fb6e | 2025-05-21 | zhangmeng | riscv: dts: add spacemit p1 pmic support for bananapi f3
1f9ffd53 | 2025-05-20 | zhangmeng | driver: iio/adc: add spacemit p1 adc driver support
65e80021 | 2025-05-20 | zhangmeng | driver: rtc: add spacemit p1 rtc driver support
72f6e4f7 | 2025-05-19 | zhangmeng | driver: pinctrl: add spacemit p1 pinctrl driver support
5852c5e7 | 2025-05-19 | zhangmeng | driver: input: add spacemit p1 key driver support
32f8b344 | 2025-05-19 | zhangmeng | driver: regulator: add spacemit p1 regulator driver support
79d8be43 | 2025-05-19 | zhangmeng | driver: mfd: add spacemit p1 mfd driver support
ea6b90ce | 2025-05-21 | zhangmeng | riscv: k1: dts: enable pwm for bananapi f3 board
c5f85820 | 2025-05-20 | zhangmeng | riscv: config: enable pxa-pwm driver for spacemit k1
7cf53257 | 2025-05-19 | zhangmeng | riscv: k1: dts: add pwm support for spacemit k1
cee562a3 | 2025-05-19 | zhangmeng | driver: pwm: update pwm-pxa for support spacemit k1
2fbb3a32 | 2025-05-21 | zhangmeng | riscv: k1: dts: enable qspi for bananapi f3 board
efc6522f | 2025-05-20 | zhangmeng | riscv: config: enable qspi driver for spacemit k1
fe677220 | 2025-05-19 | zhangmeng | riscv: k1: dts: add qspi support for spacemit k1
0a99b025 | 2025-05-19 | zhangmeng | driver: k1: add qspi driver support for spacemit k1
a125f4a1 | 2025-05-21 | zhangmeng | riscv: k1: dts: enable spi-3 for bananapi f3 board
dcdc02ac | 2025-05-20 | zhangmeng | riscv: config: enable spi driver for spacemit k1
34278963 | 2025-05-19 | zhangmeng | riscv: k1: dts: add spi support for spacemit k1
1a5a0589 | 2025-05-19 | zhangmeng | driver: k1: add spi driver support for spacemit k1
35e09254 | 2025-05-21 | zhangmeng | riscv: k1: dts: enable i2c2 and i2c8 for bananapi f3 board
cbae529c | 2025-05-20 | zhangmeng | riscv: config: enable i2c driver for spacemit k1
980d1a8b | 2025-05-19 | zhangmeng | riscv: k1: dts: add i2c support for spacemit k1
d3fad2e0 | 2025-05-19 | zhangmeng | driver: k1: add i2c driver support for spacemit k1
cfe773bd | 2025-05-20 | zhangmeng | riscv: config: enable dma driver for spacemit k1
1e69f565 | 2025-05-19 | zhangmeng | riscv: k1: dts: add dma support for spacemit k1
c12b6351 | 2025-05-17 | zhangmeng | driver: k1: add dma driver support for spacemit k1
1c2606a6 | 2025-05-19 | zhangmeng | riscv: k1: dt-bindings: support dma binding for spacemit k1 soc
a320d9b8 | 2025-05-20 | zhangmeng | riscv: config: enable memory range driver for spacemit k1
2a531dfb | 2025-05-17 | zhangmeng | riscv: k1: dts: add memory ranges define
c7a72cf0 | 2025-05-17 | zhangmeng | driver: k1: add an interconnect process driver
cdca7174 | 2025-03-01 | zhangmeng | riscv: config: enable serial driver for spacemit k1
049d3434 | 2025-02-20 | zhangmeng | riscv: k1x: dts: add uart support for spacemit k1x soc
e8519d76 | 2025-02-20 | zhangmeng | driver: k1x: add uart serial driver support for spacemit k1x
b861f87a | 2025-02-25 | zhangmeng | riscv: k1x: config: enable gpio driver for spacemit k1
fccde962 | 2025-02-20 | zhangmeng | riscv: k1x: dts: add gpio support spacemit k1x soc
b21d980d | 2025-02-20 | zhangmeng | driver: k1x: add gpio driver for spacemit k1
7697adad | 2025-02-25 | zhangmeng | riscv: k1x: config: enable pinctrl driver for spacemit k1
a321b4ea | 2025-02-20 | zhangmeng | riscv: k1x: dts: add pinctrl support for spacemit k1x soc
8c28ef59 | 2025-02-20 | zhangmeng | driver: k1x: add pinctrl driver for spacemit k1x
73584890 | 2025-02-20 | zhangmeng | riscv: k1x: dt-bindings: support pinctrl binding for spacemit k1x soc
4ac431bc | 2025-02-25 | zhangmeng | riscv: k1x: config: enable reset driver for spacemit k1
ab1eac0a | 2025-02-19 | zhangmeng | riscv: k1x: dts: add reset support for spacemit k1
fbaa99d9 | 2025-02-19 | zhangmeng | driver: k1x: add reset driver for spacemit k1
2f13cf92 | 2025-02-19 | zhangmeng | riscv: k1x: dt-bindings: add reset dt-bindings for spacemit k1
09bab7a0 | 2025-02-25 | zhangmeng | riscv: k1x: config: enable clock driver for spacemit k1
59165d72 | 2025-02-19 | zhangmeng | riscv: k1x: dts: add clock support for spacemit k1
a682b429 | 2025-02-19 | zhangmeng | driver: k1x: clk: add clock driver for spacemit k1
7cdbceb6 | 2025-02-19 | zhangmeng | riscv: k1x: dt-bindings: add clock dt-bindings for spacemit k1
a6e80acb | 2025-02-18 | zhangmeng | riscv: k1x: add spacemit k1 soc support
