# 阿里达摩院 提交列表（纯文本视图）
# 共 286 个提交
# 生成时间: 2026-03-04 22:05:14
#
# 格式: 提交哈希 | 日期 | 原始作者 | 标题
------------------------------------------------------------------------------------------------------------------------
59354233 | 2024-10-17 | Jesse Taube | RISC-V: Detect unaligned vector accesses supported
27930515 | 2024-10-17 | Jesse Taube | RISC-V: Replace RISCV_MISALIGNED with RISCV_SCALAR_MISALIGNED
89afd16f | 2024-10-17 | Jesse Taube | RISC-V: Scalar unaligned access emulated on hotplug CPUs
c547503b | 2024-10-17 | Jesse Taube | RISC-V: Check scalar unaligned access on all CPUs
8f3b9dd5 | 2024-08-14 | Samuel Holland | riscv: misaligned: Restrict user access to kernel memory
8bdc3834 | 2024-08-09 | Evan Green | RISC-V: hwprobe: Add SCALAR to misaligned perf defines
889387fc | 2024-08-09 | Evan Green | RISC-V: hwprobe: Add MISALIGNED_PERF key
08f2d23e | 2024-03-17 | Xingyou Chen | riscv: typo in comment for get_f64_reg
81eb01e8 | 2024-03-08 | Charlie Jenkins | riscv: Set unaligned access speed at compile time
bb98b7a4 | 2024-03-08 | Charlie Jenkins | riscv: Decouple emulated unaligned accesses from access speed
876b4c50 | 2024-03-08 | Charlie Jenkins | riscv: Only check online cpus for emulated accesses
26be2745 | 2024-03-08 | Charlie Jenkins | riscv: lib: Introduce has_fast_unaligned_access()
19551693 | 2024-02-12 | Eric Biggers | crypto: riscv - add vector crypto accelerated AES-CBC-CTS
37b9237f | 2024-02-06 | Clément Léger | riscv: misaligned: remove CONFIG_RISCV_M_MODE specific code
4e1feb66 | 2024-01-08 | Charlie Jenkins | kunit: Add tests for csum_ipv6_magic and ip_fast_csum
10ca4310 | 2024-01-08 | Charlie Jenkins | riscv: Add checksum library
face3ed2 | 2024-01-08 | Charlie Jenkins | riscv: Add checksum header
3352baf5 | 2024-01-08 | Charlie Jenkins | riscv: Add static key for misaligned accesses
2e8b77a4 | 2024-01-08 | Charlie Jenkins | asm-generic: Improve csum_fold
1743101b | 2023-12-25 | Jisheng Zhang | riscv: select DCACHE_WORD_ACCESS for efficient unaligned access HW
7d3de109 | 2023-12-25 | Jisheng Zhang | riscv: introduce RISCV_EFFICIENT_UNALIGNED_ACCESS
7fa1719e | 2023-11-23 | Ben Dooks | riscv; fix __user annotation in save_v_state()
f0002d57 | 2023-11-23 | Ben Dooks | riscv: fix __user annotation in traps_misaligned.c
9c95fad7 | 2023-11-06 | Evan Green | RISC-V: Show accurate per-hart isa in /proc/cpuinfo
22206a09 | 2026-02-02 | Chen Pei | Revert "riscv:uprobe: fix flush_icache to ensure that instructions are refreshed when switching to user mode"
943371b4 | 2024-01-21 | Jerry Shih | crypto: riscv - add vector crypto accelerated SM4
7c107f6b | 2024-01-21 | Jerry Shih | crypto: riscv - add vector crypto accelerated SM3
4139827a | 2024-01-21 | Jerry Shih | crypto: riscv - add vector crypto accelerated SHA-{512,384}
cf12b83e | 2024-01-21 | Jerry Shih | crypto: riscv - add vector crypto accelerated SHA-{256,224}
2449e0cb | 2024-01-21 | Jerry Shih | crypto: riscv - add vector crypto accelerated GHASH
