# 算能 提交列表（纯文本视图）
# 共 98 个提交
# 生成时间: 2026-03-04 22:05:14
#
# 格式: 提交哈希 | 日期 | 原始作者 | 标题
------------------------------------------------------------------------------------------------------------------------
40a9eb09 | 2024-04-23 | chunzhi.lin | dts:sophgo:add i2c-rtc ds1307 device node for single chip
e7d1e016 | 2024-03-28 | chunzhi.lin | riscv:dts:modify dw gpio clock name
e83a3fff | 2024-03-26 | Xiaoguang Xing | riscv: defconfig: Add openeuler defconfig
1a5a8753 | 2024-03-23 | fengchun.li | drivers:pci:remove the err log of parsing pci
e390cbaf | 2023-07-12 | Xiaoguang Xing | riscv: configs: Add sophgo sg2042 soc defconfig
354dbb84 | 2024-03-21 | Xiaoguang Xing | driver: ipmi: support KVM and IPMI SI for BMC
751a9b71 | 2023-07-31 | Chao Wei | driver: radeon: deinit device during kexec
f7628fa9 | 2023-08-29 | Xiaoguang Xing | kernel: schedule: Fix set_task_cpu() bug
64d60076 | 2023-10-17 | Xiaoguang Xing | mm: Modify __find_max_addr for memory hole
984a9f8e | 2023-02-16 | xiaoguang.xing | riscv: kernel: Optimize apply_relocate_add()
df49646c | 2023-02-16 | xiaoguang.xing | riscv: mm: Clear compilation warning about last_cpupid
640a7ff0 | 2023-11-16 | haijiao.liu | kernel: tick: filter unnecessary printing
6a291ed7 | 2023-10-21 | haijiao.liu | kernel: Adjust the log level of the tick_switch_to_oneshot function
5d5fdd3f | 2024-03-21 | Xiaoguang Xing | driver: clk: Modify the timer clock is turned off defaultly
c771b669 | 2024-03-21 | Xiaoguang Xing | drivers: clock: Add sophgo sg2042 multi-chip clock synchronous support
5c483ba0 | 2024-03-20 | Xiaoguang Xing | riscv: mm: Add high memory on riscv64 using sv39
776c2f09 | 2023-02-16 | xiaoguang.xing | riscv: kexec: Add image loader for kexec file
9dc18d68 | 2024-03-06 | Xiaoguang Xing | drm/amd/display: Support DRM_AMD_DC_FP on RISC-V
313dcc6b | 2024-03-06 | Xiaoguang Xing | riscv: Factor out riscv-march-y to a separate Makefile
2feee6e5 | 2024-03-06 | Xiaoguang Xing | riscv: Add support for kernel-mode FPU
90c4fd62 | 2024-01-26 | Xiaoguang Xing | mango pci hack:broadcast when no MSI source known
3127e203 | 2023-07-12 | Xiaoguang Xing | driver: soc: Add sophgo sg2042 soc support
8048c054 | 2024-03-21 | Xiaoguang Xing | drivers: pcie: sophgo: Create msi-x whitelist,turn on msi-x for top intr
38b3ea65 | 2024-03-21 | Xiaoguang Xing | driver: pcie: Add sophgo sg2042 soc support
3f233298 | 2023-07-12 | Xiaoguang Xing | driver: net: Add sophgo sg2042 soc support
c69a4953 | 2024-03-06 | Xiaoguang Xing | driver: mtd: Add sophgo sg2042 soc support
5dcab7e8 | 2024-03-21 | Xiaoguang Xing | driver: mmc: Add sophgo sg2042 soc support
7489990c | 2023-07-12 | Xiaoguang Xing | driver: reset: Add sophgo sg2042 soc support
085972ad | 2023-07-12 | Xiaoguang Xing | driver: pinctrl: Add sophgo sg2042 soc support
8dfc3fc5 | 2023-07-12 | Xiaoguang Xing | driver: clk: Add sophgo sg2042 soc support
f798b13e | 2023-10-21 | haijiao.liu | riscv: spinlock: Fix deadlock issue
d0b6cd0f | 2023-05-25 | xiaoguang.xing | riscv: add smp_cond_load_acquire()
57fd9225 | 2024-01-29 | Xiaoguang Xing | riscv: add ioremap_wc for gpu
86351ec6 | 2023-10-19 | Xiaoguang Xing | riscv: errata: thead: Make cache clean to flush
a51f70f6 | 2024-01-22 | Xiaoguang Xing | riscv: errata: Replace thead cache clean with flush
68e5fa72 | 2023-07-20 | Xiaoguang Xing | riscv: Kconfig: Set vector as default no
cc9dc701 | 2024-03-06 | Xiaoguang Xing | riscv: Add sophgo sg2042 soc support
