# 软件所 提交列表（纯文本视图）
# 共 252 个提交
# 生成时间: 2026-03-04 22:05:14
#
# 格式: 提交哈希 | 日期 | 原始作者 | 标题
------------------------------------------------------------------------------------------------------------------------
0463019f | 2024-01-03 | Leonardo Bras | riscv/cmpxchg: Implement xchg for variables of size 1 and 2
3b2a376c | 2024-01-03 | Leonardo Bras | riscv/cmpxchg: Implement cmpxchg for variables of size 1 and 2
58da0efb | 2024-01-03 | Leonardo Bras | riscv/cmpxchg: Deduplicate cmpxchg() asm and macros
61975e3a | 2024-01-03 | Leonardo Bras | riscv/cmpxchg: Deduplicate xchg() asm functions
aa8440ed | 2024-02-17 | Eric Chan | riscv/barrier: Consolidate fence definitions
b3254c6d | 2024-02-17 | Eric Chan | riscv/barrier: Define RISCV_FULL_BARRIER
493bad42 | 2024-06-19 | Clément Léger | riscv: add ISA extension parsing for Zcmop
25b9fea0 | 2024-06-19 | Clément Léger | riscv: add ISA parsing for Zca, Zcf, Zcd and Zcb
85a8fc95 | 2024-06-19 | Clément Léger | riscv: add ISA extensions validation callback
a9534048 | 2024-06-19 | Clément Léger | riscv: add ISA extension parsing for Zimop
2ee2cdce | 2024-05-10 | Andy Chiu | riscv: vector: adjust minimum Vector requirement to ZVE32X
c9bceaee | 2024-05-10 | Andy Chiu | riscv: cpufeature: add zve32[xf] and zve64[xfd] isa detection
02522af4 | 2024-02-22 | Yu Chien Peter Lin | perf: RISC-V: Introduce Andes PMU to support perf event sampling
8d7d0d9b | 2024-02-22 | Yu Chien Peter Lin | perf: RISC-V: Eliminate redundant interrupt enable/disable operations
eaae15b3 | 2024-05-10 | Andy Chiu | riscv: cpufeature: call match_isa_ext() for single-letter extensions
0ee64ab9 | 2024-05-10 | Andy Chiu | riscv: vector: add a comment when calling riscv_setup_vsize()
46730f81 | 2024-05-02 | Charlie Jenkins | riscv: cpufeature: Fix extension subset checking
2cd54147 | 2024-02-27 | Samuel Holland | riscv: Add a custom ISA extension for the [ms]envcfg CSR
f18a9b46 | 2023-12-20 | Clément Léger | riscv: add ISA extension parsing for Zacas
90b0cc26 | 2023-12-20 | Clément Léger | riscv: add ISA extension parsing for Ztso
d411e983 | 2023-11-10 | Palmer Dabbelt | RISC-V: Remove the removed single-letter extensions
18dd676f | 2023-11-14 | Clément Léger | riscv: add ISA extension parsing for Zfa
6bacaa5a | 2023-11-14 | Clément Léger | riscv: add ISA extension parsing for Zvfh[min]
3ca323b1 | 2023-11-14 | Clément Léger | riscv: add ISA extension parsing for Zihintntl
414b1995 | 2023-11-14 | Clément Léger | riscv: add ISA extension parsing for Zfh/Zfh[min]
e363321e | 2023-11-14 | Clément Léger | riscv: add ISA extension parsing for vector crypto
edeea415 | 2023-11-14 | Evan Green | riscv: add ISA extension parsing for scalar crypto
157cff04 | 2023-10-04 | Clément Léger | riscv: annotate check_unaligned_access_boot_cpu() with __init
6735fa2a | 2023-07-26 | Tsukasa OI | RISC-V: clarify the QEMU workaround in ISA parser
abe2c5dd | 2023-10-31 | Xiao Wang | riscv: Rearrange hwcap.h and cpufeature.h
b6d7f92a | 2023-11-14 | Clément Léger | riscv: add ISA extension parsing for Zbc
f83cbcb1 | 2023-09-15 | Anup Patel | RISC-V: Detect Zicond from ISA string
19495e96 | 2024-11-13 | Mingzheng Xing | th1520: npu: fix build error
3b00e984 | 2024-04-11 | Anup Patel | RISC-V: KVM: Use IMSIC guest files when available
9fad4667 | 2024-04-11 | Anup Patel | RISC-V: KVM: Share APLIC and IMSIC defines with irqchip drivers
42531cfb | 2025-02-12 | Mingzheng Xing | riscv: Kconfig: Enable amdkfd driver config
57a36cd9 | 2025-01-10 | Mingzheng Xing | kconfig: fix kernel-mode FPU support
f6491c2f | 2024-03-07 | Anup Patel | MAINTAINERS: Add entry for RISC-V AIA drivers
1c757df1 | 2024-03-07 | Anup Patel | RISC-V: Select APLIC and IMSIC drivers
3f37b137 | 2024-11-14 | Samuel Holland | irqchip/riscv-aplic: Prevent crash when MSI domain is missing
7ce26304 | 2024-08-09 | Yong-Xuan Wang | irqchip/riscv-aplic: Retrigger MSI interrupt on source configuration
9bb378b2 | 2024-06-03 | Jinjie Ruan | irqchip/riscv-aplic: Simplify the initialization code
54042a37 | 2024-04-16 | Dawei Li | irqchip/riscv-aplic-direct: Avoid explicit cpumask allocation on stack
56e812b7 | 2024-04-16 | Dawei Li | cpumask: Introduce cpumask_first_and_and()
1034afab | 2024-03-07 | Anup Patel | irqchip/riscv-aplic: Add support for MSI-mode
d9e8e38d | 2024-08-20 | Dan Carpenter | irqchip/riscv-aplic: Fix an IS_ERR() vs NULL bug in probe()
9f00c08b | 2024-03-07 | Anup Patel | irqchip: Add RISC-V advanced PLIC driver for direct-mode
79a25343 | 2024-03-07 | Anup Patel | dt-bindings: interrupt-controller: Add RISC-V advanced PLIC
cc1dfdff | 2024-03-07 | Anup Patel | irqchip/riscv-imsic: Add device MSI domain support for PCI devices
4e6fde4b | 2024-09-09 | Andrew Jones | irqchip/riscv-imsic: Fix output text of base address
c8614b9a | 2024-04-13 | Anup Patel | irqchip/riscv-imsic: Fix boot time update effective affinity warning
993ee18f | 2024-03-07 | Anup Patel | irqchip/riscv-imsic: Add device MSI domain support for platform devices
859354b3 | 2024-03-07 | Anup Patel | irqchip: Add RISC-V incoming MSI controller early driver
0c6648ec | 2024-03-07 | Anup Patel | dt-bindings: interrupt-controller: Add RISC-V incoming MSI controller
c8c1910d | 2024-02-22 | Björn Töpel | genirq/matrix: Dynamic bitmap allocation
ef5b4424 | 2024-03-12 | Samuel Holland | irqchip/riscv-intc: Fix use of AIA interrupts 32-63 on riscv32
11a905d3 | 2024-02-26 | Anup Patel | irqchip/riscv-intc: Fix low-level interrupt handler setup for AIA
ceb96b43 | 2024-02-22 | Anup Patel | irqchip/riscv-intc: Add support for RISC-V AIA
2dfa910d | 2023-12-20 | Jisheng Zhang | riscv: enable HAVE_FAST_GUP if MMU
21b0c46c | 2023-12-20 | Jisheng Zhang | riscv: enable MMU_GATHER_RCU_TABLE_FREE for SMP && MMU
8b52110d | 2023-12-20 | Jisheng Zhang | riscv: tlb: convert __p*d_free_tlb() to inline functions
bcd0454d | 2023-12-20 | Jisheng Zhang | riscv: tlb: fix __p*d_free_tlb()
96ec5524 | 2023-09-13 | Mayuresh Chitale | dt-bindings: riscv: Add smstateen entry
cabfc801 | 2023-09-13 | Mayuresh Chitale | RISC-V: Detect Smstateen extension
93d68daa | 2024-01-27 | Thomas Gleixner | genirq/msi: Provide MSI_FLAG_PARENT_PM_DEV
aa5f5bab | 2024-01-27 | Thomas Gleixner | genirq/irqdomain: Reroute device MSI create_mapping
e7b00f72 | 2024-01-27 | Thomas Gleixner | genirq/msi: Provide allocation/free functions for "wired" MSI interrupts
5f1c6999 | 2024-01-27 | Thomas Gleixner | genirq/msi: Optionally use dev->fwnode for device domain
4cbac34f | 2024-01-27 | Thomas Gleixner | genirq/msi: Provide DOMAIN_BUS_WIRED_TO_MSI
dcf85ecf | 2024-01-27 | Thomas Gleixner | genirq/msi: Split msi_domain_alloc_irq_at()
3aa04747 | 2024-02-20 | Marc Zyngier | genirq/irqdomain: Don't call ops->select for DOMAIN_BUS_ANY tokens
64fdb5b2 | 2024-01-27 | Thomas Gleixner | genirq/msi: Provide optional translation op
31c411b9 | 2024-02-15 | Thomas Gleixner | platform-msi: Remove unused interfaces
45f80dca | 2024-01-27 | Thomas Gleixner | irqchip: Convert all platform MSI users to the new API
bcb7e0a0 | 2024-01-27 | Thomas Gleixner | platform-msi: Prepare for real per device domains
7ae2c00e | 2024-01-27 | Thomas Gleixner | genirq/irqdomain: Add DOMAIN_BUS_DEVICE_MSI
570486c5 | 2024-01-27 | Thomas Gleixner | genirq/msi: Extend msi_parent_ops
007e94c3 | 2024-01-27 | Thomas Gleixner | genirq/irqdomain: Remove the param count restriction from select()
40092f25 | 2024-12-10 | Yafen Fang | fix: Error: unrecognized opcode cbo.clean (a0)
9f28a749 | 2024-03-27 | Han Gao | riscv: sophgo: mango: add xtheadvector for mango-cpus-socket0&1
5e23702b | 2024-09-27 | Han Gao | driver: video-memory: reorganize the code structure
e4400dae | 2024-09-21 | Han Gao | fix: gpu: fix device tree matching img,gpu
7be5139d | 2024-09-21 | Han Gao | ci: cleanup forced setting of thread number
f3e9cf1c | 2024-09-21 | Han Gao | debian: linux-image provide wireguard-modules
dd372b41 | 2024-09-21 | Han Gao | config: cleanup unused option
c74bb90b | 2024-09-21 | Han Gao | fix: disable CONFIG_PCI for pvrsrvkm build error
1da8dbf1 | 2024-09-21 | Han Gao | dts: lpi4a: remove mipi screen
