# 中兴通讯 提交列表（纯文本视图）
# 共 252 个提交
# 生成时间: 2026-03-04 22:05:14
#
# 格式: 提交哈希 | 日期 | 原始作者 | 标题
------------------------------------------------------------------------------------------------------------------------
26a4fd9f | 2025-09-20 | shenlin | perf vendor events riscv: add lrw core JSON file
fa4ba9a3 | 2025-04-21 | Alexandre Ghiti | riscv: Add support for Zicbop
a3a2217c | 2025-04-21 | Alexandre Ghiti | riscv: Introduce Zicbop instructions
aff8c919 | 2025-02-26 | Yunhui Cui | RISC-V: Enable cbo.clean/flush in usermode
ed67d541 | 2024-08-14 | Samuel Holland | riscv: Add support for per-thread envcfg CSR values
4bd21721 | 2024-06-19 | Clément Léger | RISC-V: KVM: Allow Zaamo/Zalrsc extensions for Guest/VM
28220b62 | 2024-06-19 | Clément Léger | riscv: hwprobe: export Zaamo and Zalrsc extensions
13a6c7a1 | 2024-06-19 | Clément Léger | riscv: add parsing for Zaamo and Zalrsc extensions
9bf81ff7 | 2025-02-13 | Inochi Amaoto | riscv: hwprobe: export bfloat16 ISA extension
e578230f | 2025-02-13 | Inochi Amaoto | riscv: add ISA extension parsing for bfloat16 ISA extension
74ed7b27 | 2024-05-24 | Xiao Wang | riscv, bpf: Introduce shift add helper with Zba optimization
1e435833 | 2024-05-16 | Xiao Wang | riscv, bpf: Optimize zextw insn with Zba extension
98c89309 | 2024-01-15 | Pu Lehui | riscv, bpf: Optimize bswap insns with Zbb support
6f2b0ecc | 2024-01-15 | Pu Lehui | riscv, bpf: Optimize sign-extention mov insns with Zbb support
22f80a47 | 2024-01-15 | Pu Lehui | riscv, bpf: Add necessary Zbb instructions
5509679f | 2024-01-15 | Pu Lehui | riscv, bpf: Simplify sext and zext logics in branch instructions
7881cc3d | 2024-01-15 | Pu Lehui | riscv, bpf: Unify 32-bit zero-extension to emit_zextw
20cb6f43 | 2024-01-15 | Pu Lehui | riscv, bpf: Unify 32-bit sign-extension to emit_sextw
4959df05 | 2025-03-12 | Robin Murphy | iommu: Don't warn prematurely about dodgy probes
618c0e07 | 2024-10-09 | Lu Baolu | iommu: Remove iommu_domain_alloc()
05330e05 | 2024-10-09 | Lu Baolu | iommu: Remove iommu_present()
6c062551 | 2024-09-02 | Lu Baolu | drm/tegra: Use iommu_paging_domain_alloc()
e6672556 | 2024-09-02 | Lu Baolu | drm/rockchip: Use iommu_paging_domain_alloc()
6fd53ea6 | 2024-06-10 | Lu Baolu | RDMA/usnic: Use iommu_paging_domain_alloc()
643435d3 | 2024-08-12 | Lu Baolu | soc: fsl: qbman: Use iommu_paging_domain_alloc()
6b22ab3f | 2024-08-12 | Lu Baolu | remoteproc: Use iommu_paging_domain_alloc()
263c59ab | 2024-08-12 | Lu Baolu | media: venus: firmware: Use iommu_paging_domain_alloc()
1ae90dbb | 2024-08-12 | Lu Baolu | media: nvidia: tegra: Use iommu_paging_domain_alloc()
1fae1a2a | 2024-08-12 | Lu Baolu | gpu: host1x: Use iommu_paging_domain_alloc()
c986ae13 | 2024-09-02 | Lu Baolu | drm/nouveau/tegra: Use iommu_paging_domain_alloc()
4a38e575 | 2024-06-10 | Lu Baolu | wifi: ath11k: Use iommu_paging_domain_alloc()
f77d974a | 2024-06-10 | Lu Baolu | wifi: ath10k: Use iommu_paging_domain_alloc()
df832a4f | 2024-06-10 | Lu Baolu | drm/msm: Use iommu_paging_domain_alloc()
760f3744 | 2024-06-10 | Lu Baolu | vhost-vdpa: Use iommu_paging_domain_alloc()
